Time,RAINRATE,T2D,Q2D,U2D,V2D,PSFC,SWDOWN,LWDOWN
2012-06-01 00:00:00,0.00000000,283.96,0.00676, 1.623,-3.617, 96553.7, 13.26,309.55
2012-06-01 01:00:00,0.00000000,282.97,0.00652, 1.558,-3.424, 96605.5,  0.00,309.56
2012-06-01 02:00:00,0.00000000,281.97,0.00628, 1.500,-3.226, 96661.5,  0.00,309.52
2012-06-01 03:00:00,0.00000000,280.97,0.00603, 1.436,-3.033, 96712.9,  0.00,304.60
2012-06-01 04:00:00,0.00000000,280.39,0.00588, 1.434,-2.982, 96752.9,  0.00,304.23
2012-06-01 05:00:00,0.00000000,279.81,0.00572, 1.435,-2.927, 96790.5,  0.00,303.88
2012-06-01 06:00:00,0.00000000,279.23,0.00557, 1.429,-2.875, 96829.5,  0.00,277.24
2012-06-01 07:00:00,0.00000000,278.57,0.00527, 1.451,-2.873, 96828.8,  0.00,276.71
2012-06-01 08:00:00,0.00000000,277.90,0.00498, 1.466,-2.872, 96827.0,  0.00,276.17
2012-06-01 09:00:00,0.00000000,277.24,0.00470, 1.487,-2.865, 96827.6, 18.46,261.44
2012-06-01 10:00:00,0.00000000,279.13,0.00491, 1.185,-3.435, 96942.5,150.42,261.70
2012-06-01 11:00:00,0.00000000,281.01,0.00513, 0.878,-4.006, 97054.7,287.73,261.99
2012-06-01 12:00:00,0.00000000,282.90,0.00534, 0.573,-4.573, 97169.8,436.73,279.30
2012-06-01 13:00:00,0.00000000,284.16,0.00559, 0.289,-4.825, 97110.4,597.85,280.03
2012-06-01 14:00:00,0.00000000,285.42,0.00584, 0.004,-5.081, 97050.2,723.70,280.74
2012-06-01 15:00:00,0.00000000,286.68,0.00610,-0.284,-5.336, 96991.2,689.19,328.98
2012-06-01 16:00:00,0.00000000,287.44,0.00636,-0.110,-4.862, 96993.6,737.28,329.67
2012-06-01 17:00:00,0.00000000,288.20,0.00663, 0.057,-4.384, 96997.0,743.17,330.34
2012-06-01 18:00:00,0.00000000,288.96,0.00690, 0.224,-3.916, 97001.2,839.16,308.84
2012-06-01 19:00:00,0.00000000,289.42,0.00707,-0.449,-3.851, 96995.3,748.39,309.39
2012-06-01 20:00:00,0.00000000,289.89,0.00724,-1.112,-3.785, 96990.0,621.30,309.92
2012-06-01 21:00:00,0.00000000,290.35,0.00741,-1.784,-3.720, 96982.3,489.26,297.80
2012-06-01 22:00:00,0.00000000,288.86,0.00730,-2.049,-2.964, 96968.4,337.37,296.45
2012-06-01 23:00:00,0.00000000,287.36,0.00719,-2.317,-2.208, 96954.2,186.58,295.11
2012-06-02 00:00:00,0.00000000,285.86,0.00708,-2.582,-1.452, 96938.5, 23.50,279.52
2012-06-02 01:00:00,0.00000000,284.62,0.00630,-2.566,-1.029, 96934.0,  0.00,278.35
2012-06-02 02:00:00,0.00000000,283.38,0.00554,-2.556,-0.600, 96934.2,  0.00,277.17
2012-06-02 03:00:00,0.00000000,282.13,0.00481,-2.545,-0.176, 96932.7,  0.00,264.00
2012-06-02 04:00:00,0.00000000,281.27,0.00475,-2.553, 0.608, 96974.1,  0.00,263.33
2012-06-02 05:00:00,0.00000000,280.39,0.00469,-2.562, 1.396, 97019.0,  0.00,262.61
2012-06-02 06:00:00,0.00000000,279.53,0.00463,-2.569, 2.180, 97062.9,  0.00,274.26
2012-06-02 07:00:00,0.00000000,279.40,0.00469,-2.729, 1.956, 96986.6,  0.00,274.43
2012-06-02 08:00:00,0.00000000,279.27,0.00476,-2.888, 1.735, 96912.4,  0.00,274.62
2012-06-02 09:00:00,0.00000000,279.14,0.00482,-3.045, 1.511, 96837.4, 16.63,301.45
2012-06-02 10:00:00,0.00000000,281.46,0.00554,-3.424, 1.910, 96892.1,128.29,303.27
2012-06-02 11:00:00,0.00000000,283.79,0.00629,-3.805, 2.309, 96944.0,244.49,305.13
2012-06-02 12:00:00,0.00000000,286.11,0.00707,-4.190, 2.710, 96996.7,327.47,341.68
2012-06-02 13:00:00,0.00000000,287.16,0.00726,-4.465, 3.736, 96954.0,448.04,341.74
2012-06-02 14:00:00,0.00000000,288.20,0.00745,-4.738, 4.769, 96911.5,542.25,341.86
2012-06-02 15:00:00,0.00000281,289.25,0.00764,-5.012, 5.802, 96866.8,552.25,355.03
2012-06-02 16:00:00,0.00003563,289.30,0.00775,-5.332, 5.559, 96829.6,590.77,354.46
2012-06-02 17:00:00,0.00001768,289.35,0.00786,-5.645, 5.318, 96790.7,595.57,353.89
2012-06-02 18:00:00,0.00000951,289.40,0.00797,-5.963, 5.074, 96753.3,518.47,359.38
2012-06-02 19:00:00,0.00002497,289.24,0.00799,-6.090, 5.169, 96642.7,462.50,358.78
2012-06-02 20:00:00,0.00004219,289.08,0.00801,-6.217, 5.264, 96531.3,384.19,358.18
2012-06-02 21:00:00,0.00006322,288.92,0.00803,-6.344, 5.353, 96420.8,309.12,350.55
2012-06-02 22:00:00,0.00002729,287.88,0.00807,-5.882, 4.719, 96540.8,213.54,349.21
2012-06-02 23:00:00,0.00001930,286.84,0.00810,-5.421, 4.081, 96660.3,118.68,347.88
2012-06-03 00:00:00,0.00001301,285.80,0.00812,-4.955, 3.446, 96779.9, 17.94,343.08
2012-06-03 01:00:00,0.00000000,285.05,0.00773,-4.879, 3.215, 96702.6,  0.00,342.48
2012-06-03 02:00:00,0.00000000,284.31,0.00734,-4.809, 2.985, 96625.8,  0.00,341.85
2012-06-03 03:00:00,0.00000030,283.57,0.00696,-4.729, 2.755, 96548.7,  0.00,339.85
2012-06-03 04:00:00,0.00000190,283.19,0.00693,-5.024, 2.630, 96579.8,  0.00,339.76
2012-06-03 05:00:00,0.00000780,282.80,0.00689,-5.318, 2.499, 96611.3,  0.00,339.64
2012-06-03 06:00:00,0.00000021,282.42,0.00686,-5.609, 2.380, 96640.7,  0.00,337.53
2012-06-03 07:00:00,0.00000614,282.12,0.00679,-5.587, 2.194, 96567.0,  0.00,337.70
2012-06-03 08:00:00,0.00000601,281.82,0.00672,-5.564, 2.014, 96494.0,  0.00,337.86
2012-06-03 09:00:00,0.00001215,281.53,0.00665,-5.538, 1.829, 96420.2,  7.35,340.33
2012-06-03 10:00:00,0.00001795,281.65,0.00659,-6.051, 1.857, 96473.5, 54.01,340.60
2012-06-03 11:00:00,0.00004295,281.77,0.00653,-6.563, 1.887, 96525.4,102.56,340.89
2012-06-03 12:00:00,0.00008517,281.89,0.00647,-7.075, 1.917, 96578.5,243.21,340.78
2012-06-03 13:00:00,0.00006227,283.38,0.00681,-7.074, 1.391, 96528.9,332.62,343.87
2012-06-03 14:00:00,0.00001521,284.87,0.00715,-7.066, 0.869, 96481.1,402.44,346.97
2012-06-03 15:00:00,0.00002861,286.36,0.00751,-7.065, 0.342, 96428.1,515.71,349.09
2012-06-03 16:00:00,0.00003444,286.72,0.00770,-7.039, 0.486, 96414.5,551.70,349.27
2012-06-03 17:00:00,0.00006756,287.08,0.00789,-7.019, 0.628, 96399.8,556.24,349.43
2012-06-03 18:00:00,0.00006351,287.44,0.00808,-6.994, 0.773, 96384.0,574.11,349.75
2012-06-03 19:00:00,0.00010371,287.41,0.00826,-6.633, 0.340, 96399.5,512.31,349.83
