Time,RAINRATE,T2D,Q2D,U2D,V2D,PSFC,SWDOWN,LWDOWN
2011-05-01 00:00:00,0.00000000,282.15,0.00491,-0.574,-4.119, 98583.1,  0.00,261.20
2011-05-01 01:00:00,0.00000000,279.94,0.00440,-0.739,-3.958, 98653.5,  0.00,259.16
2011-05-01 02:00:00,0.00000000,277.72,0.00392,-0.914,-3.795, 98723.0,  0.00,257.07
2011-05-01 03:00:00,0.00000000,275.51,0.00346,-1.076,-3.633, 98792.5,  0.00,219.39
2011-05-01 04:00:00,0.00000000,274.20,0.00323,-0.665,-3.435, 98825.6,  0.00,217.93
2011-05-01 05:00:00,0.00000000,272.90,0.00300,-0.248,-3.232, 98855.7,  0.00,216.45
2011-05-01 06:00:00,0.00000000,271.59,0.00278, 0.166,-3.035, 98886.7,  0.00,213.07
2011-05-01 07:00:00,0.00000000,271.11,0.00271,-0.009,-3.025, 98870.4,  0.00,212.44
2011-05-01 08:00:00,0.00000000,270.64,0.00264,-0.173,-3.022, 98856.1,  0.00,211.83
2011-05-01 09:00:00,0.00000000,270.17,0.00258,-0.347,-3.019, 98841.1,  0.00,212.82
2011-05-01 10:00:00,0.00000000,271.81,0.00279,-0.311,-3.026, 98906.8, 77.35,213.27
2011-05-01 11:00:00,0.00000000,273.46,0.00300,-0.287,-3.038, 98972.9,231.83,213.71
2011-05-01 12:00:00,0.00000000,275.10,0.00321,-0.252,-3.044, 99040.9,427.97,229.73
2011-05-01 13:00:00,0.00000000,276.94,0.00325,-1.222,-3.167, 99011.1,609.24,230.80
2011-05-01 14:00:00,0.00000000,278.78,0.00328,-2.183,-3.289, 98981.1,755.84,231.88
2011-05-01 15:00:00,0.00000000,280.62,0.00332,-3.149,-3.409, 98951.6,826.26,249.09
2011-05-01 16:00:00,0.00000000,282.26,0.00368,-2.933,-3.044, 98958.8,900.76,250.22
2011-05-01 17:00:00,0.00000000,283.90,0.00405,-2.724,-2.674, 98966.1,906.26,251.32
2011-05-01 18:00:00,0.00000000,285.54,0.00444,-2.510,-2.307, 98975.7,809.95,268.99
2011-05-01 19:00:00,0.00000000,286.31,0.00461,-2.200,-1.988, 98947.4,702.51,269.78
2011-05-01 20:00:00,0.00000000,287.07,0.00478,-1.881,-1.668, 98919.0,576.34,270.57
2011-05-01 21:00:00,0.00000000,287.84,0.00496,-1.570,-1.348, 98889.3,423.10,268.08
2011-05-01 22:00:00,0.00000000,285.56,0.00479,-2.153,-0.463, 98806.4,264.29,265.66
2011-05-01 23:00:00,0.00000000,283.27,0.00462,-2.740, 0.435, 98723.1,103.06,263.25
2011-05-02 00:00:00,0.00000000,280.99,0.00445,-3.322, 1.322, 98641.5,  0.00,235.28
2011-05-02 01:00:00,0.00000000,279.51,0.00402,-3.113, 1.577, 98654.3,  0.00,233.87
2011-05-02 02:00:00,0.00000000,278.02,0.00360,-2.908, 1.825, 98669.1,  0.00,232.41
2011-05-02 03:00:00,0.00000000,276.55,0.00321,-2.703, 2.075, 98686.7,  0.00,226.21
2011-05-02 04:00:00,0.00000000,275.33,0.00303,-2.661, 2.316, 98711.8,  0.00,224.88
2011-05-02 05:00:00,0.00000000,274.12,0.00286,-2.615, 2.561, 98738.7,  0.00,223.59
2011-05-02 06:00:00,0.00000000,272.90,0.00270,-2.572, 2.811, 98764.9,  0.00,217.89
